,year,age,suicides_no
129,2000,5-14 years,9.598214285714286
130,2000,55-74 years,275.28125
131,2000,75+ years,97.64732142857143
132,2001,15-24 years,135.5940170940171
133,2001,25-34 years,175.92735042735043
134,2001,35-54 years,421.0854700854701
135,2001,5-14 years,9.363247863247864
136,2001,55-74 years,255.44444444444446
137,2001,75+ years,92.63247863247864
138,2002,15-24 years,135.3728813559322
139,2002,25-34 years,179.91525423728814
140,2002,35-54 years,424.4194915254237
141,2002,5-14 years,9.203389830508474
142,2002,55-74 years,258.5
143,2002,75+ years,95.98305084745763
144,2003,15-24 years,135.43103448275863
145,2003,25-34 years,180.50862068965517
146,2003,35-54 years,432.125
147,2003,5-14 years,8.482758620689655
148,2003,55-74 years,265.8060344827586
149,2003,75+ years,100.1853448275862
150,2004,15-24 years,128.47391304347826
151,2004,25-34 years,170.02173913043478
152,2004,35-54 years,408.7391304347826
153,2004,5-14 years,8.38695652173913
154,2004,55-74 years,251.64347826086956
155,2004,75+ years,99.03478260869565
156,2005,15-24 years,123.70434782608696
157,2005,25-34 years,166.24347826086955
158,2005,35-54 years,391.47391304347826
159,2005,5-14 years,8.065217391304348
160,2005,55-74 years,249.16086956521738
161,2005,75+ years,98.8391304347826
162,2006,15-24 years,126.7566371681416
163,2006,25-34 years,167.5486725663717
164,2006,35-54 years,391.2079646017699
165,2006,5-14 years,8.119469026548673
166,2006,55-74 years,253.72566371681415
167,2006,75+ years,102.19911504424779
168,2007,15-24 years,129.0681818181818
169,2007,25-34 years,175.71818181818182
170,2007,35-54 years,395.6
171,2007,5-14 years,8.045454545454545
172,2007,55-74 years,261.51363636363635
173,2007,75+ years,108.28636363636363
174,2008,15-24 years,123.61111111111111
175,2008,25-34 years,164.51709401709402
176,2008,35-54 years,375.87606837606836
177,2008,5-14 years,7.384615384615385
178,2008,55-74 years,249.73076923076923
179,2008,75+ years,101.82051282051282
180,2009,15-24 years,120.61570247933884
181,2009,25-34 years,165.8388429752066
182,2009,35-54 years,378.95454545454544
183,2009,5-14 years,7.925619834710743
184,2009,55-74 years,250.44628099173553
185,2009,75+ years,98.21900826446281
186,2010,15-24 years,120.66239316239316
187,2010,25-34 years,166.56410256410257
188,2010,35-54 years,378.84615384615387
189,2010,5-14 years,7.764957264957265
190,2010,55-74 years,258.35042735042737
191,2010,75+ years,103.03846153846153
192,2011,15-24 years,124.3
193,2011,25-34 years,167.76956521739132
194,2011,35-54 years,375.95217391304345
195,2011,5-14 years,8.552173913043479
196,2011,55-74 years,260.3086956521739
197,2011,75+ years,106.47391304347826
198,2012,15-24 years,121.77927927927928
199,2012,25-34 years,168.3108108108108
200,2012,35-54 years,377.1081081081081
201,2012,5-14 years,8.481981981981981
202,2012,55-74 years,266.7432432432432
203,2012,75+ years,112.01351351351352
204,2013,15-24 years,116.9090909090909
205,2013,25-34 years,165.88181818181818
206,2013,35-54 years,373.04545454545456
207,2013,5-14 years,8.886363636363637
208,2013,55-74 years,266.75454545454545
209,2013,75+ years,111.34545454545454
210,2014,15-24 years,120.96634615384616
211,2014,25-34 years,175.3846153846154
212,2014,35-54 years,387.17788461538464
213,2014,5-14 years,9.711538461538462
214,2014,55-74 years,281.0480769230769
215,2014,75+ years,120.8701923076923
216,2015,15-24 years,142.71875
217,2015,25-34 years,206.9625
218,2015,35-54 years,453.69375
219,2015,5-14 years,11.06875
220,2015,55-74 years,339.0625
221,2015,75+ years,145.91875
222,2016,15-24 years,26.12
223,2016,25-34 years,44.06
224,2016,35-54 years,121.72
225,2016,5-14 years,1.92
226,2016,55-74 years,98.26
227,2016,75+ years,37.58
