,year,age,rate_per_100k
40,1985,55-74,17.272151231447054
41,1985,75+,25.392154347075813
42,1986,05-14,0.5319227513295098
43,1986,15-24,7.74599784684783
44,1986,25-34,11.54313738980461
45,1986,35-54,14.516123297225866
46,1986,55-74,16.838518564620074
47,1986,75+,27.053293078249347
48,1987,05-14,0.544751949342254
49,1987,15-24,7.441224928394073
50,1987,25-34,11.521619040785327
51,1987,35-54,14.620091634201636
52,1987,55-74,17.58632362865724
53,1987,75+,27.14940930469392
54,1988,05-14,0.6015491838671904
55,1988,15-24,8.498295436470931
56,1988,25-34,12.727015801055092
57,1988,35-54,15.335527574741658
58,1988,55-74,18.17688422516125
59,1988,75+,29.078228302924025
60,1989,05-14,0.6348141389234128
61,1989,15-24,9.064975068890572
62,1989,25-34,12.97460052812455
63,1989,35-54,16.038524362712018
64,1989,55-74,18.589576158268898
65,1989,75+,28.957459113512098
66,1990,05-14,0.5711360312042619
67,1990,15-24,8.67706351943711
68,1990,25-34,12.630813271217482
69,1990,35-54,15.06904200535953
70,1990,55-74,17.12688081759216
71,1990,75+,27.797178511937812
72,1991,05-14,0.5841880711055248
73,1991,15-24,9.48050391236748
74,1991,25-34,12.617456734305328
75,1991,35-54,15.359352298478825
76,1991,55-74,17.452096683845273
77,1991,75+,27.786482051598956
78,1992,05-14,0.6393801655556745
79,1992,15-24,9.360211664876012
80,1992,25-34,13.118459875367929
81,1992,35-54,16.856169246121546
82,1992,55-74,19.128650318753127
83,1992,75+,28.263220735439365
84,1993,05-14,0.8289605496801266
85,1993,15-24,9.617413698937654
86,1993,25-34,14.01692419527685
87,1993,35-54,18.032245370133445
88,1993,55-74,19.375556403480047
89,1993,75+,28.326401309077518
90,1994,05-14,0.6695298220345388
91,1994,15-24,9.681087788390554
92,1994,25-34,13.253408451614728
93,1994,35-54,17.8142432553944
94,1994,55-74,19.374917344096637
95,1994,75+,29.9582139732357
96,1995,05-14,0.5782479494640906
97,1995,15-24,9.86266667739209
98,1995,25-34,14.097889931673532
99,1995,35-54,18.20944451146049
100,1995,55-74,19.01032979814591
101,1995,75+,30.680829636159057
102,1996,05-14,0.7160927592570155
103,1996,15-24,10.032993678803232
104,1996,25-34,14.125714623391868
105,1996,35-54,17.654191925158397
106,1996,55-74,18.90658104701159
107,1996,75+,28.655909656574416
108,1997,05-14,0.6068744882408259
109,1997,15-24,10.149143450891305
110,1997,25-34,13.743465801435624
111,1997,35-54,16.78075683386104
112,1997,55-74,19.120001440968043
113,1997,75+,28.754798876344605
114,1998,05-14,0.6839006884799614
115,1998,15-24,10.24341781652568
116,1998,25-34,13.481433554040317
117,1998,35-54,16.944255601632968
118,1998,55-74,18.732646637637064
119,1998,75+,27.48639795579095
120,1999,05-14,0.6374962853034264
121,1999,15-24,10.31413409081333
122,1999,25-34,13.931104831307254
123,1999,35-54,17.024945535683297
124,1999,55-74,18.111065831999817
125,1999,75+,25.495266273514716
126,2000,05-14,0.5288480139135799
127,2000,15-24,8.859218642111719
128,2000,25-34,13.295054035560675
129,2000,35-54,15.979680734704328
130,2000,55-74,16.96957734343759
131,2000,75+,24.99569453048408
132,2001,05-14,0.567600623524139
133,2001,15-24,8.775853680616196
134,2001,25-34,12.8734317476752
135,2001,35-54,15.841517900510723
136,2001,55-74,16.774428928434183
137,2001,75+,24.598087383832993
138,2002,05-14,0.6451578797908784
139,2002,15-24,8.860304154949008
140,2002,25-34,12.64154862348974
141,2002,35-54,15.317558242203305
142,2002,55-74,16.380363576048627
143,2002,75+,24.07360733456354
144,2003,05-14,0.6478972322971763
145,2003,15-24,8.590915385124552
146,2003,25-34,12.166188890533146
147,2003,35-54,15.430684821579147
148,2003,55-74,16.461572264683387
149,2003,75+,22.08438286121573
150,2004,05-14,0.5640023835435191
151,2004,15-24,8.079182522824166
152,2004,25-34,11.419140148383663
153,2004,35-54,14.290317126937623
154,2004,55-74,15.030568928615871
155,2004,75+,21.06480119176762
156,2005,05-14,0.667330773984277
157,2005,15-24,7.497456509025117
158,2005,25-34,10.78860316147093
159,2005,35-54,13.386466209135605
160,2005,55-74,14.356571216539006
161,2005,75+,20.229818028032053
162,2006,05-14,0.5848592558225703
163,2006,15-24,8.172345579162847
164,2006,25-34,10.447512481466868
165,2006,35-54,13.748080830342465
166,2006,55-74,14.036979422308347
167,2006,75+,21.699035223745636
168,2007,05-14,0.7346415758721284
169,2007,15-24,7.866296574818605
170,2007,25-34,11.676367379234641
171,2007,35-54,13.554863025459396
172,2007,55-74,13.921218503278013
173,2007,75+,22.15334631045803
174,2008,05-14,0.5776098163418812
175,2008,15-24,7.964951127103678
176,2008,25-34,11.255374510350023
177,2008,35-54,14.03566847111277
178,2008,55-74,14.407471168691997
179,2008,75+,20.56325800741526
180,2009,05-14,0.6128078367800086
181,2009,15-24,7.688873703146499
182,2009,25-34,10.932411868943342
183,2009,35-54,13.783461973267631
184,2009,55-74,14.24664277951533
185,2009,75+,19.943594232370398
186,2010,05-14,0.6209393372480362
187,2010,15-24,7.549095255403094
188,2010,25-34,10.677188211782601
189,2010,35-54,13.550700309689402
190,2010,55-74,13.354292832281505
191,2010,75+,19.265264086792058
192,2011,05-14,0.6426902178390862
193,2011,15-24,7.702250310705125
194,2011,25-34,9.991091265487073
195,2011,35-54,12.157338403250206
196,2011,55-74,12.729287795847291
197,2011,75+,17.848014006528963
198,2012,05-14,0.6113415336186058
199,2012,15-24,7.696757238561726
200,2012,25-34,10.321399193522906
201,2012,35-54,12.311003064387235
202,2012,55-74,13.01945144360265
203,2012,75+,18.87984329412728
204,2013,05-14,0.612072759646767
205,2013,15-24,7.556258898555645
206,2013,25-34,10.073048858454834
207,2013,35-54,12.07082539714696
208,2013,55-74,13.120911986866778
209,2013,75+,17.463149978042377
210,2014,05-14,0.738351508530908
211,2014,15-24,6.959809221165843
212,2014,25-34,9.894307805260258
213,2014,35-54,11.667630376868209
214,2014,55-74,12.861754698320164
215,2014,75+,18.534559538081215
216,2015,05-14,0.7276885921263974
217,2015,15-24,7.36241697563015
218,2015,25-34,9.718289220499518
219,2015,35-54,11.50437491561801
220,2015,55-74,12.955686978238763
221,2015,75+,18.513993012586802
222,2016,05-14,0.5635237645730337
223,2016,15-24,6.900892898920365
224,2016,25-34,10.97754847828302
225,2016,35-54,12.55413206268188
226,2016,55-74,13.623020771584796
227,2016,75+,16.662513109565733
