,unique_values,counts
465,Carnarvon,1
466,Shark Bay ,1
467,Burke ,1
468,Yarrabah ,1
469,Cleve ,1
470,Broken Hill,1
471,Mount Marshall ,1
472,Exmouth ,1
473,Leonora ,1
474,Menzies ,1
475,Barcaldine ,1
476,Elliston ,1
477,Esperance,1
478,McKinlay ,1
479,Kulin ,1
480,Cranbrook ,1
481,Perenjori ,1
482,Wickepin ,1
483,Port Lincoln ,1
484,Wagait ,1
485,Orroroo/Carrieton ,1
486,Coonamble,1
487,Lockhart River ,1
488,Warren,1
489,Subiaco ,1
490,Kent ,1
491,Pormpuraaw ,1
492,Wudinna ,1
493,Weipa ,1
